"Date","Price","Open","High","Low","Vol.","Change %"
"25/02/2022","15.1381","15.3632","15.3905","15.1047","","-1.42%"
"24/02/2022","15.3554","15.1350","15.5363","15.0867","","1.64%"
"23/02/2022","15.1071","15.0442","15.1421","14.9726","","0.34%"
"22/02/2022","15.0558","15.1417","15.2340","15.0131","","-0.45%"
"21/02/2022","15.1232","15.1073","15.2054","15.0394","","0.30%"
"18/02/2022","15.0784","14.9752","15.1773","14.9299","","0.61%"
"17/02/2022","14.9874","14.9971","15.1044","14.9095","","0.00%"
"16/02/2022","14.9878","15.1029","15.1575","14.9785","","-0.80%"
"15/02/2022","15.1081","15.1325","15.2510","14.9916","","-0.07%"
"14/02/2022","15.1185","15.2096","15.2874","15.0880","","-0.54%"
"11/02/2022","15.2007","15.1678","15.2761","15.0565","","0.26%"
"10/02/2022","15.1614","15.2051","15.2710","14.9779","","-0.30%"
"09/02/2022","15.2068","15.3579","15.3946","15.1634","","-0.86%"
"08/02/2022","15.3385","15.5036","15.5926","15.3368","","-1.11%"
"07/02/2022","15.5100","15.4707","15.5595","15.3941","","0.17%"
"04/02/2022","15.4836","15.2925","15.5340","15.2229","","1.50%"
"03/02/2022","15.2541","15.3343","15.4035","15.2384","","-0.52%"
"02/02/2022","15.3340","15.2721","15.4029","15.2135","","0.50%"
"01/02/2022","15.2578","15.3788","15.4280","15.2039","","-0.80%"
"31/01/2022","15.3808","15.6100","15.6321","15.3278","","-1.28%"
"28/01/2022","15.5804","15.4584","15.7075","15.4208","","0.78%"
"27/01/2022","15.4596","15.3373","15.5355","15.2100","","0.84%"
"26/01/2022","15.3311","15.2504","15.3699","15.1184","","0.74%"
"25/01/2022","15.2183","15.2850","15.3693","15.2079","","-0.30%"
"24/01/2022","15.2643","15.0919","15.3991","15.0810","","1.13%"
"21/01/2022","15.0941","15.2154","15.2838","15.0599","","-0.71%"
"20/01/2022","15.2016","15.3306","15.3517","15.0961","","-0.81%"
"19/01/2022","15.3263","15.5180","15.5413","15.2739","","-1.13%"
"18/01/2022","15.5021","15.4168","15.5752","15.3579","","0.80%"
"17/01/2022","15.3797","15.3896","15.4572","15.3231","","-0.03%"
"14/01/2022","15.3846","15.4104","15.4518","15.2664","","-0.10%"
"13/01/2022","15.3996","15.3117","15.4463","15.2609","","0.69%"
"12/01/2022","15.2940","15.5760","15.5773","15.2899","","-1.49%"
"11/01/2022","15.5250","15.6312","15.6939","15.5079","","-0.86%"
"10/01/2022","15.6589","15.6267","15.7429","15.5635","","0.46%"
"07/01/2022","15.5875","15.7333","15.7958","15.5523","","-0.89%"
"06/01/2022","15.7275","15.8868","15.9920","15.6642","","-1.06%"
"05/01/2022","15.8962","16.0184","16.0644","15.7076","","-0.68%"
"04/01/2022","16.0047","15.9092","16.0803","15.8076","","0.83%"
"03/01/2022","15.8728","16.0038","16.0091","15.7614","","-0.75%"
"31/12/2021","15.9921","15.9066","16.0003","15.8712","","0.44%"
"30/12/2021","15.9220","15.9388","16.0266","15.8805","","-0.05%"
"29/12/2021","15.9299","15.7382","15.9745","15.7308","","1.11%"
"28/12/2021","15.7554","15.5400","15.8392","15.5198","","1.43%"
"27/12/2021","15.5338","15.5610","15.5760","15.4974","","-0.13%"
"24/12/2021","15.5535","15.6667","15.6886","15.5062","","-0.65%"
"23/12/2021","15.6553","15.6986","15.8201","15.6102","","-0.20%"
"22/12/2021","15.6870","15.8525","15.9219","15.6725","","-0.99%"
"21/12/2021","15.8433","15.7714","15.8995","15.7318","","0.55%"
"20/12/2021","15.7566","15.8807","15.9676","15.7276","","-0.74%"
"17/12/2021","15.8740","15.9376","15.9805","15.7990","","-0.38%"
